scope,position_left,position_right,chi2,dof,p_value,cramers_v,n_observations,q_value,reject_fdr_05
Giải năm,1,2,89.93286320261106,81.0,0.23284210651621268,0.015323125208964266,42558,0.8893547092886497,False
Giải năm,1,3,87.76776877544387,81.0,0.28445624555489946,0.015137552735008896,42558,0.8893547092886497,False
Giải năm,1,4,64.3068560255614,81.0,0.9132336884558998,0.012957367569752187,42558,0.9545303943181801,False
Giải năm,1,5,,,,,0,,False
Giải năm,2,3,71.17967629420357,81.0,0.7740317819912661,0.013632206133678696,42558,0.9545303943181801,False
Giải năm,2,4,68.63502819529157,81.0,0.8346590287851334,0.013386315246321388,42558,0.9545303943181801,False
Giải năm,2,5,,,,,0,,False
Giải năm,3,4,83.58365859907998,81.0,0.40007848286130226,0.0147723241447994,42558,0.8993857112575668,False
Giải năm,3,5,,,,,0,,False
Giải năm,4,5,,,,,0,,False
Giải sáu,1,2,89.2919963032139,81.0,0.24747191678728325,0.021592821981288646,21279,0.8893547092886497,False
Giải sáu,1,3,67.13561585474197,81.0,0.8654844642645597,0.018723180606473076,21279,0.9545303943181801,False
Giải sáu,1,4,,,,,0,,False
Giải sáu,1,5,,,,,0,,False
Giải sáu,2,3,82.26879960409562,81.0,0.43978603749154804,0.02072624932882418,21279,0.8993857112575668,False
Giải sáu,2,4,,,,,0,,False
Giải sáu,2,5,,,,,0,,False
Giải sáu,3,4,,,,,0,,False
Giải sáu,3,5,,,,,0,,False
Giải sáu,4,5,,,,,0,,False
Giải bảy,1,2,94.31423754760564,81.0,0.14791568431271382,0.01921862880648505,28372,0.8893547092886497,False
Giải bảy,1,3,,,,,0,,False
Giải bảy,1,4,,,,,0,,False
Giải bảy,1,5,,,,,0,,False
Giải bảy,2,3,,,,,0,,False
Giải bảy,2,4,,,,,0,,False
