model,fold,bin,mean_predicted,observed_rate,n
xgboost,validation_2023_2024,5,0.5677443742752075,1.0,4
xgboost,validation_2023_2024,6,0.6666126251220703,0.2,5
xgboost,validation_2023_2024,7,0.7470951080322266,1.0,2
xgboost,validation_2023_2024,8,0.8787990808486938,0.7272727272727273,11
xgboost,validation_2023_2024,9,0.9433252215385437,0.9642857142857143,28
xgboost,validation_2023_2024,5,0.5665439367294312,0.5,2
xgboost,validation_2023_2024,6,0.6603547930717468,0.4,5
xgboost,validation_2023_2024,7,0.7149428725242615,0.6666666666666666,3
xgboost,validation_2023_2024,8,0.8623870611190796,0.8571428571428571,14
xgboost,validation_2023_2024,9,0.9393876791000366,0.9615384615384616,26
xgboost,validation_2023_2024,5,0.5603640675544739,0.5,2
xgboost,validation_2023_2024,6,0.6362611651420593,0.5,6
xgboost,validation_2023_2024,7,0.7141053676605225,1.0,2
xgboost,validation_2023_2024,8,0.8649717569351196,0.7692307692307693,13
xgboost,validation_2023_2024,9,0.9392654299736023,0.9629629629629629,27
xgboost,validation_2023_2024,5,0.5284885168075562,1.0,2
xgboost,validation_2023_2024,6,0.6474615335464478,1.0,4
xgboost,validation_2023_2024,7,0.7641375064849854,0.5,4
xgboost,validation_2023_2024,8,0.8708418011665344,1.0,10
xgboost,validation_2023_2024,9,0.945185124874115,0.9,30
xgboost,validation_2023_2024,6,0.6473353505134583,0.6666666666666666,6
xgboost,validation_2023_2024,7,0.7145712971687317,0.8,5
xgboost,validation_2023_2024,8,0.8740854859352112,1.0,12
xgboost,validation_2023_2024,9,0.9414840936660767,1.0,27
xgboost,validation_2023_2024,5,0.5588871240615845,0.6,5
xgboost,validation_2023_2024,6,0.6501984596252441,0.75,4
xgboost,validation_2023_2024,7,0.738444447517395,1.0,2
xgboost,validation_2023_2024,8,0.8799384832382202,0.9230769230769231,13
xgboost,validation_2023_2024,9,0.9390601515769958,0.8846153846153846,26
xgboost,validation_2023_2024,5,0.5462519526481628,0.6666666666666666,3
xgboost,validation_2023_2024,6,0.6597946286201477,0.5,4
xgboost,validation_2023_2024,7,0.7259804606437683,1.0,3
xgboost,validation_2023_2024,8,0.8736991882324219,0.8,10
xgboost,validation_2023_2024,9,0.937624990940094,0.8666666666666667,30
xgboost,validation_2023_2024,5,0.5615919828414917,0.75,4
xgboost,validation_2023_2024,6,0.6575832366943359,0.75,4
xgboost,validation_2023_2024,7,0.7472857236862183,0.5,2
xgboost,validation_2023_2024,8,0.8657646775245667,0.9090909090909091,11
xgboost,validation_2023_2024,9,0.935764729976654,0.9310344827586207,29
xgboost,validation_2023_2024,5,0.5816401243209839,1.0,2
xgboost,validation_2023_2024,6,0.6536762714385986,0.75,4
xgboost,validation_2023_2024,7,0.7233420014381409,0.6,5
xgboost,validation_2023_2024,8,0.8671620488166809,0.8888888888888888,9
xgboost,validation_2023_2024,9,0.9324795007705688,0.9333333333333333,30
xgboost,validation_2023_2024,4,0.48144859075546265,0.0,1
xgboost,validation_2023_2024,5,0.5910959839820862,1.0,1
xgboost,validation_2023_2024,6,0.6493611335754395,0.8,5
xgboost,validation_2023_2024,7,0.7707635760307312,0.6666666666666666,3
xgboost,validation_2023_2024,8,0.8614081740379333,0.9166666666666666,12
xgboost,validation_2023_2024,9,0.9414017796516418,0.8928571428571429,28
xgboost,validation_2023_2024,5,0.5775988698005676,0.5,2
xgboost,validation_2023_2024,6,0.6606717109680176,0.8571428571428571,7
xgboost,validation_2023_2024,7,0.7490625977516174,1.0,2
xgboost,validation_2023_2024,8,0.8720942139625549,0.9090909090909091,11
xgboost,validation_2023_2024,9,0.9393135905265808,0.9285714285714286,28
xgboost,validation_2023_2024,6,0.6331605315208435,0.8333333333333334,6
xgboost,validation_2023_2024,7,0.7312577962875366,0.6,5
xgboost,validation_2023_2024,8,0.8788178563117981,0.8,5
xgboost,validation_2023_2024,9,0.9359443187713623,0.8529411764705882,34
xgboost,validation_2023_2024,5,0.5619499683380127,0.75,4
xgboost,validation_2023_2024,6,0.6535192728042603,1.0,4
xgboost,validation_2023_2024,7,0.7447956204414368,0.0,2
xgboost,validation_2023_2024,8,0.875166118144989,0.9,10
xgboost,validation_2023_2024,9,0.9370776414871216,0.8666666666666667,30
xgboost,validation_2023_2024,4,0.49681735038757324,1.0,1
xgboost,validation_2023_2024,5,0.5545390844345093,1.0,1
xgboost,validation_2023_2024,6,0.6358815431594849,0.5714285714285714,7
xgboost,validation_2023_2024,7,0.7458881139755249,0.5,2
xgboost,validation_2023_2024,8,0.8629491925239563,0.7777777777777778,9
xgboost,validation_2023_2024,9,0.9403054118156433,1.0,30
xgboost,validation_2023_2024,5,0.5620629191398621,1.0,1
xgboost,validation_2023_2024,6,0.6624935865402222,0.7142857142857143,7
xgboost,validation_2023_2024,7,0.7348514795303345,0.0,2
xgboost,validation_2023_2024,8,0.8634491562843323,0.8181818181818182,11
xgboost,validation_2023_2024,9,0.937378466129303,0.9310344827586207,29
xgboost,validation_2023_2024,6,0.6513755321502686,0.5,8
xgboost,validation_2023_2024,7,0.7482038736343384,1.0,2
xgboost,validation_2023_2024,8,0.8809404373168945,0.8571428571428571,7
xgboost,validation_2023_2024,9,0.9361022114753723,0.9090909090909091,33
xgboost,validation_2023_2024,4,0.4513958692550659,1.0,1
xgboost,validation_2023_2024,5,0.579897940158844,0.0,2
xgboost,validation_2023_2024,6,0.666894793510437,0.6,5
xgboost,validation_2023_2024,7,0.7509140372276306,0.5,2
xgboost,validation_2023_2024,8,0.8651180267333984,0.8333333333333334,12
xgboost,validation_2023_2024,9,0.9440725445747375,0.7857142857142857,28
xgboost,validation_2023_2024,5,0.5840012431144714,1.0,1
xgboost,validation_2023_2024,6,0.6412653923034668,0.5,6
xgboost,validation_2023_2024,7,0.7364335060119629,0.6666666666666666,3
xgboost,validation_2023_2024,8,0.8599424362182617,0.75,12
xgboost,validation_2023_2024,9,0.9385558366775513,0.8571428571428571,28
xgboost,validation_2023_2024,5,0.5847691893577576,0.3333333333333333,3
xgboost,validation_2023_2024,6,0.6358252763748169,0.6666666666666666,6
xgboost,validation_2023_2024,7,0.7045150995254517,0.0,1
xgboost,validation_2023_2024,8,0.875393807888031,0.9090909090909091,11
